sev,tot,label,years
Slight,11941,North West,2014
Slight,10730,Yorkshire and The Humber,2014
Slight,4566,North East,2014
Slight,23860,London,2014
Slight,11837,East of England,2014
Slight,9382,East Midlands,2014
Slight,19254,South East,2014
Slight,9479,South West,2014
Slight,10625,West Midlands,2014
Serious,2565,North West,2014
Serious,1992,Yorkshire and The Humber,2014
Serious,676,North East,2014
Serious,1977,London,2014
Serious,1980,East of England,2014
Serious,1679,East Midlands,2014
Serious,3938,South East,2014
Serious,1743,South West,2014
Serious,1580,West Midlands,2014
Fatal,175,North West,2014
Fatal,143,Yorkshire and The Humber,2014
Fatal,55,North East,2014
Fatal,126,London,2014
Fatal,174,East of England,2014
Fatal,155,East Midlands,2014
Fatal,228,South East,2014
Fatal,173,South West,2014
Fatal,153,West Midlands,2014
Slight,10505,North West,2015
Slight,10767,Yorkshire and The Humber,2015
Slight,4374,North East,2015
Slight,23174,London,2015
Slight,10744,East of England,2015
Slight,8883,East Midlands,2015
Slight,18498,South East,2015
Slight,9105,South West,2015
Slight,10581,West Midlands,2015
Serious,2383,North West,2015
Serious,1869,Yorkshire and The Humber,2015
Serious,782,North East,2015
Serious,1878,London,2015
Serious,1977,East of England,2015
Serious,1514,East Midlands,2015
Serious,3793,South East,2015
Serious,1721,South West,2015
Serious,1718,West Midlands,2015
Fatal,172,North West,2015
Fatal,130,Yorkshire and The Humber,2015
Fatal,58,North East,2015
Fatal,131,London,2015
Fatal,177,East of England,2015
Fatal,167,East Midlands,2015
Fatal,226,South East,2015
Fatal,160,South West,2015
Fatal,150,West Midlands,2015
Slight,10120,North West,2016
Slight,10224,Yorkshire and The Humber,2016
Slight,3740,North East,2016
Slight,22748,London,2016
Slight,10871,East of England,2016
Slight,8144,East Midlands,2016
Slight,17947,South East,2016
Slight,8638,South West,2016
Slight,10076,West Midlands,2016
Serious,2427,North West,2016
Serious,2100,Yorkshire and The Humber,2016
Serious,799,North East,2016
Serious,2292,London,2016
Serious,2430,East of England,2016
Serious,1539,East Midlands,2016
Serious,3969,South East,2016
Serious,1847,South West,2016
Serious,2012,West Midlands,2016
Fatal,179,North West,2016
Fatal,130,Yorkshire and The Humber,2016
Fatal,53,North East,2016
Fatal,114,London,2016
Fatal,197,East of England,2016
Fatal,181,East Midlands,2016
Fatal,265,South East,2016
Fatal,154,South West,2016
Fatal,152,West Midlands,2016
