urbanrural,tot,label,years
Urban,10441,North West,2014
Rural,4240,North West,2014
Urban,8749,Yorkshire and The Humber,2014
Rural,4116,Yorkshire and The Humber,2014
Urban,3345,North East,2014
Rural,1952,North East,2014
Urban,25253,London,2014
Rural,710,London,2014
Urban,7084,East of England,2014
Rural,6907,East of England,2014
Urban,6237,East Midlands,2014
Rural,4979,East Midlands,2014
Urban,12933,South East,2014
Rural,10487,South East,2014
Urban,5750,South West,2014
Rural,5645,South West,2014
Urban,8391,West Midlands,2014
Rural,3967,West Midlands,2014
Urban,9168,North West,2015
Rural,3892,North West,2015
Urban,8625,Yorkshire and The Humber,2015
Rural,4141,Yorkshire and The Humber,2015
Urban,3316,North East,2015
Rural,1898,North East,2015
Urban,24467,London,2015
Rural,716,London,2015
Urban,6530,East of England,2015
Rural,6368,East of England,2015
Urban,5822,East Midlands,2015
Rural,4742,East Midlands,2015
Urban,12503,South East,2015
Rural,10014,South East,2015
Urban,5474,South West,2015
Rural,5512,South West,2015
Urban,8684,West Midlands,2015
Rural,3765,West Midlands,2015
Urban,8594,North West,2016
Rural,4132,North West,2016
Urban,8180,Yorkshire and The Humber,2016
Rural,4274,Yorkshire and The Humber,2016
Urban,2908,North East,2016
Rural,1864,North East,2016
Urban,24686,London,2016
Rural,468,London,2016
Urban,6600,East of England,2016
Rural,6898,East of England,2016
Urban,5282,East Midlands,2016
Rural,4582,East Midlands,2016
Urban,11791,South East,2016
Rural,10390,South East,2016
Urban,5107,South West,2016
Rural,5532,South West,2016
Urban,8669,West Midlands,2016
Rural,3571,West Midlands,2016

